"fmcg_category","platform_name","product_name","date_miladi","date","cheapest_price"
"beverages","Digikala","شربت پرتقال موریس - 1800 گرم","2025-08-26","1404/06/04",435000
"beverages","Digikala","چای کله مورچه هلی کنیا سوفیا - 450 گرم","2025-08-27","1404/06/05",444900
"beverages","Digikala","ساشه خاکشیر گلها - 20 گرم بسته 18 عددی","2025-08-27","1404/06/05",NULL
"beverages","Digikala","چای کله مورچه هلی کنیا سوفیا - 450 گرم","2025-08-28","1404/06/06",444900
"beverages","Digikala","ساشه خاکشیر گلها - 20 گرم بسته 18 عددی","2025-08-28","1404/06/06",NULL
"beverages","Digikala","چای کله مورچه هلی کنیا سوفیا - 450 گرم","2025-08-30","1404/06/08",444900
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-08-30","1404/06/08",2500000
"beverages","Digikala","چای کله مورچه هلی کنیا سوفیا - 450 گرم","2025-08-31","1404/06/09",444900
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-08-31","1404/06/09",2500000
"beverages","Digikala","چای کله مورچه هلی کنیا سوفیا - 450 گرم","2025-09-02","1404/06/11",444900
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-02","1404/06/11",2500000
"beverages","Digikala","چای کله مورچه هلی کنیا سوفیا - 450 گرم","2025-09-03","1404/06/12",444900
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-03","1404/06/12",2500000
"beverages","Digikala","چای کله مورچه هلی کنیا سوفیا - 450 گرم","2025-09-04","1404/06/13",444900
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-04","1404/06/13",2500000
"beverages","Digikala","زعفران درجه یک مصطفوی - 0.5 گرم","2025-09-05","1404/06/14",98000
"beverages","Digikala","پودر مخلوط قهوه فوری 3 در 1 کلاسیک نسکافه بسته 32 عددی","2025-09-08","1404/06/17",375250
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-08","1404/06/17",2500000
"beverages","Digikala","پودر مخلوط قهوه فوری 3 در 1 کلاسیک نسکافه بسته 32 عددی","2025-09-09","1404/06/18",375250
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-09","1404/06/18",2500000
"beverages","Digikala","پودر مخلوط قهوه فوری 3 در 1 کلاسیک نسکافه بسته 32 عددی","2025-09-11","1404/06/20",375250
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-11","1404/06/20",2500000
"beverages","Digikala","چای سیاه با زعفران و هل دوغزال - 400 گرم","2025-09-13","1404/06/22",719900
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-13","1404/06/22",2500000
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-14","1404/06/23",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-14","1404/06/23",756000
"beverages","Digikala","گلاب ویژه با پودر طلا ربیع مقدار 0.75 لیتر","2025-09-15","1404/06/24",2500000
"beverages","Digikala","هات چاکلت کوپا 40 ساشه 18 گرمی","2025-09-15","1404/06/24",756000
