"fmcg_category","platform_name","date_miladi","date","avg_price"
"breakfast","Digikala","2025-09-14","1404/06/23","374000.000000000000"
"breakfast","Digikala","2025-09-15","1404/06/24","262000.000000000000"
"breakfast","Digikala","2025-09-16","1404/06/25","316000.000000000000"
"breakfast","Digikala","2025-09-17","1404/06/26","316000.000000000000"
"breakfast","Digikala","2025-09-18","1404/06/27","316000.000000000000"
"breakfast","Digikala","2025-09-20","1404/06/29","1245300.000000000000"
"breakfast","Digikala","2025-09-21","1404/06/30","1245300.000000000000"
"breakfast","Digikala","2025-09-22","1404/06/31","184000.000000000000"
"canned-food","Digikala","2025-08-13","1404/05/22","78750.000000000000"
"canned-food","Digikala","2025-08-16","1404/05/25","78750.000000000000"
"canned-food","Digikala","2025-08-17","1404/05/26","87500.000000000000"
"canned-food","Digikala","2025-08-18","1404/05/27","87500.000000000000"
"canned-food","Digikala","2025-08-19","1404/05/28","87500.000000000000"
"canned-food","Digikala","2025-08-20","1404/05/29","69900.000000000000"
"canned-food","Digikala","2025-08-21","1404/05/30","79900.000000000000"
"canned-food","Digikala","2025-08-25","1404/06/03","87500.000000000000"
"canned-food","Digikala","2025-08-26","1404/06/04","53000.000000000000"
"canned-food","Digikala","2025-08-27","1404/06/05","69300.000000000000"
"canned-food","Digikala","2025-08-28","1404/06/06","74250.000000000000"
"canned-food","Digikala","2025-08-30","1404/06/08","99000.000000000000"
"canned-food","Digikala","2025-08-31","1404/06/09","99000.000000000000"
"canned-food","Digikala","2025-09-02","1404/06/11","75000.000000000000"
"canned-food","Digikala","2025-09-03","1404/06/12","75000.000000000000"
"canned-food","Digikala","2025-09-04","1404/06/13","99000.000000000000"
"canned-food","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"canned-food","Digikala","2025-09-08","1404/06/17","143200.000000000000"
"canned-food","Digikala","2025-09-09","1404/06/18","143200.000000000000"
"canned-food","Digikala","2025-09-11","1404/06/20","143200.000000000000"
"canned-food","Digikala","2025-09-13","1404/06/22","161100.000000000000"
"canned-food","Digikala","2025-09-14","1404/06/23","161100.000000000000"
"canned-food","Digikala","2025-09-15","1404/06/24","143200.000000000000"
"canned-food","Digikala","2025-09-16","1404/06/25","143200.000000000000"
"canned-food","Digikala","2025-09-17","1404/06/26","143200.000000000000"
"canned-food","Digikala","2025-09-18","1404/06/27","143200.000000000000"
"canned-food","Digikala","2025-09-20","1404/06/29","179000.000000000000"
"canned-food","Digikala","2025-09-21","1404/06/30","179000.000000000000"
"canned-food","Digikala","2025-09-22","1404/06/31","179000.000000000000"
"condiment","Digikala","2025-08-13","1404/05/22","97300.000000000000"
"condiment","Digikala","2025-08-16","1404/05/25","59000.000000000000"
"condiment","Digikala","2025-08-17","1404/05/26","69900.000000000000"
"condiment","Digikala","2025-08-18","1404/05/27","69900.000000000000"
"condiment","Digikala","2025-08-19","1404/05/28","69900.000000000000"
"condiment","Digikala","2025-08-20","1404/05/29","287900.000000000000"
"condiment","Digikala","2025-08-21","1404/05/30","210000.000000000000"
"condiment","Digikala","2025-08-25","1404/06/03","69900.000000000000"
"condiment","Digikala","2025-08-26","1404/06/04","349700.000000000000"
"condiment","Digikala","2025-08-27","1404/06/05","69900.000000000000"
"condiment","Digikala","2025-08-28","1404/06/06","45430.000000000000"
"condiment","Digikala","2025-08-30","1404/06/08","69900.000000000000"
"condiment","Digikala","2025-08-31","1404/06/09","69900.000000000000"
"condiment","Digikala","2025-09-02","1404/06/11","69900.000000000000"
"condiment","Digikala","2025-09-03","1404/06/12","38440.000000000000"
"condiment","Digikala","2025-09-04","1404/06/13","69900.000000000000"
"condiment","Digikala","2025-09-05","1404/06/14","98000.000000000000"
"condiment","Digikala","2025-09-08","1404/06/17","69900.000000000000"
"condiment","Digikala","2025-09-09","1404/06/18","69900.000000000000"
"condiment","Digikala","2025-09-11","1404/06/20","69900.000000000000"
"condiment","Digikala","2025-09-13","1404/06/22","69900.000000000000"
"condiment","Digikala","2025-09-14","1404/06/23","69900.000000000000"
"condiment","Digikala","2025-09-15","1404/06/24","69900.000000000000"
"condiment","Digikala","2025-09-16","1404/06/25","69900.000000000000"
"condiment","Digikala","2025-09-17","1404/06/26","38440.000000000000"
"condiment","Digikala","2025-09-18","1404/06/27","69900.000000000000"
"condiment","Digikala","2025-09-20","1404/06/29","53000.000000000000"
"condiment","Digikala","2025-09-21","1404/06/30","69900.000000000000"
"condiment","Digikala","2025-09-22","1404/06/31","77900.000000000000"
"cosmetics-hygiene","Digikala","2025-08-13","1404/05/22","60000.000000000000"
"cosmetics-hygiene","Digikala","2025-08-16","1404/05/25","60000.000000000000"
"cosmetics-hygiene","Digikala","2025-08-17","1404/05/26","60000.000000000000"
"cosmetics-hygiene","Digikala","2025-08-18","1404/05/27","60000.000000000000"
